Ethics	Minutes of justice: Distribution of time during football matches in a boys' team
Geography	Entrepreneurial public real estate policy: The case of Eiranranta, Helsinki
Family Studies	Mediators of the Relationship Between Stable Nonresident Households and Toddler Outcomes
Family Studies	Depression, Masculine Norm Adherence, and Fathering Behavior
Economics	Endogenous party structure
Social Sciences, Mathematical Methods	Speaking Stata: Fun and fluency with functions
Social Work	The Differential Impact of Terrorism on Two Israeli Communities
Criminology & Penology	Victim, Police, and Prosecutorial Responses to Same-Sex Intimate Partner Violence: A Comparative Approach
Cultural Studies	The 21st-century hipster: On micro-populations in times of superdiversity
Social Sciences, Biomedical	Speculative Markets: Drug Circuits and Derivative Life in Nigeria
Industrial Relations & Labor	Critical Representations of Work and Organization in Popular Culture
Demography	Resolved Parental Infertility and Children's Educational Achievement
Social Sciences, Mathematical Methods	Two-Level Dynamic Structural Equation Models with Small Samples
Rehabilitation	Pilot study investigating infant vagal reactivity and visual behavior during object perception
Transportation	Analysis of demand structures on intercontinental routes to and from Europe with a view to identifying potential for new low-cost services
Political Science	Ethnicizing citizenship, questioning membership. Explaining the decreasing family migration rights of citizens in Europe
Geography	Scales of care and responsibility: debating the surgically globalised body
Social Issues	Wet drones
Education, Special	Recommendations for Replication Research in Special Education: A Framework of Systematic, Conceptual Replications
Regional & Urban Planning	Epistemology of the City: Improvisational Practice and creative Diagrammatics in an urban Context
Economics	Should the government protect its basic research?
Business, Finance	Financial reporting and firm valuation: relevance lost or relevance regained?
Family Studies	Do Changes to Family Structure Affect Child and Family Outcomes? A Systematic Review of the Instability Hypothesis
Women'S Studies	Paternity, Enframing, and a New Revealing: O'Brien's Philosophy of Reproduction and Heidegger's Critique of Technology
Industrial Relations & Labor	Aestheticising retail workers: Orientations of aesthetic labour in Australian fashion retail
Ethnic Studies	The psychic life of resistance: The ethnic subject in a high-tech region
International Relations	Objective Troy: A Terrorist, a President, and the Rise of the Drone
Criminology & Penology	New Developments and Implications for Understanding the Victimization of Gang Members
Public Administration	Minding the Gap: Networks of Animal Welfare Service Provision
Linguistics	PROCESSING OF THE REDUCED RELATIVE CLAUSE VERSUS MAIN VERB AMBIGUITY IN L2 LEARNERS AT DIFFERENT PROFICIENCY LEVELS
Political Science	From City Hall to the White House
Sociology	When the heterosexual script goes flexible: Public reactions to female heteroflexibility in the Buffy the Vampire Slayer comic books
Information Science & Library Science	The Professor in the Cage: Why Men Fight and Why We Like To Watch
Ethnic Studies	'The ball and the rhythm in her blood': Racialised imaginaries and football migration from Nigeria to Scandinavia
Cultural Studies	Performing American Childhood from Slavery to Civil Rights
Regional & Urban Planning	disP Service Elke Becker und Klaus-J. Beckmann
History & Philosophy Of Science	Infinitesimal: How a Dangerous Mathematical Theory Shaped the Modern World
History Of Social Sciences	The best planning system in Australia or a system in need of review? An analysis of the New South Wales planning system
Education, Special	Compliance and Practices in Transition Planning: A Review of Individualized Education Program Documents
Hospitality, Leisure, Sport & Tourism	Measurement of feelings of obligation to volunteer: the Obligation to Volunteer as Commitment (OVC) and Obligation to Volunteer as Duty (OVD) scales
Hospitality, Leisure, Sport & Tourism	HOTEL MANAGEMENT CONTRACTS AND DEFICIENCIES IN OWNER-OPERATOR CAPITAL EXPENDITURE GOAL CONGRUENCY
Economics	Hot hand and gambler's fallacy in teams: Evidence from investment experiments
Ethnic Studies	Imagining Revolutionary Feminism: Communist Asia and the Women of the Black Panther Party
Nursing	The Scale on COmmunity care PErceptions (SCOPE) for nursing students: A development and psychometric validation study (vol 31, pg 61, 2018)
Education & Educational Research	Positive youth development in Turkey: a critical review of research on the social and emotional learning needs of Turkish adolescents, 2000-2012
Hospitality, Leisure, Sport & Tourism	Tourism and Sustainable Development: Reconsidering a Concept of Vague Policies
Nursing	Preceptors' experiences of using a competence assessment tool to assess undergraduate nursing students
Women'S Studies	What Nature Makes of Her: Kant's Gendered Metaphysics
Environmental Studies	The Graying of the Alaskan Fishing Fleet
Substance Abuse	Latent Classes of Polydrug Users as a Predictor of Crash Involvement and Alcohol Consumption
Health Policy & Services	Interdisciplinary education and research as a basis for the integration of social and health care
Management	Managing customer experiences: Perspectives on the temporal aspects of service encounters
Health Policy & Services	THE CARE SPAN Despite Small Improvement, Black Nursing Home Residents Remain Less Likely Than Whites To Receive Flu Vaccine
Business, Finance	Do Audit Clients Successfully Engage in Opinion Shopping? Partner-Level Evidence
Social Work	Mindfulness and Cognitive Therapy in Depression Relapse Prevention: A Case Study
Sociology	POLITICAL CORRUPTION AND SOCIAL TRUST AN EXPERIMENTAL APPROACH
Psychology, Multidisciplinary	Causal Understanding in Film Viewing: The Effects of Narrative Structure and Personality Traits
Education, Special	The Development of Educational and/or Training Computer Games for Students With Disabilities
History	Eclipse of Empire? Perceptions of the Western Empire and its Rulers in Late-Medieval France
Education, Special	The Relationship of Teachers' Instructional Decisions and Beliefs about Alternate Assessments to Students Achievement
Nursing	Translation and Psychometric Analysis of the Chinese Version of the Dutch Eating Behavior Questionnaire for Children (DEBQ-C) in Taiwanese Preadolescents
Social Sciences, Interdisciplinary	Facilitating and studying the development and implementation of buprenorphine opioid treatment within HIV primary care in NYC
Women'S Studies	Against Sexism, Violence and Gender stereotypes: France dares Feminism
Management	Women in management in Central and Eastern European (CEE) countries: All quiet on the eastern front?
Women'S Studies	across the borders of Lesvos: the gendering of migrants' detention in the Aegean
Management	Organizing product recovery in industrial networks
History Of Social Sciences	Memory: Fragments of a Modern History
Linguistics	On the many faces of incompleteness: Hide-and-seek with the Finnish partitive object
