B	Humanistic care in medicine has shown to improve healthcare outcomes.
B	Language barriers are a significant obstacle to humanistic care , and trained medical interpreters have demonstrated to effectively bridge the gap for the vulnerable limited English proficiency ( LEP ) patient population.
B	One way in which medical schools can train more humanistic physicians and provide language access is through the implementation of programs to train bilingual medical students as medical interpreters.
B	The purpose of this prospective study was to evaluate whether such training had an impact on bilingual medical student's interpretation skills and humanistic traits.
M	Between 2015 and 2017 , whole-day ( similar to 8 h ) workshops on medical interpretation were offered periodically to 80 bilingual medical students at the Penn State College of Medicine.
M	Students completed a series of questionnaires before and after the training that assessed the program's effectiveness and its overall impact on interpretation skills and humanistic traits.
M	Students also had the opportunity to become certified medical interpreters.
R	The 80 student participants were first-to third-year medical students representing 21 languages.
R	Following training , most students felt more confident interpreting ( 98% ) and more empathetic towards LEP patients ( 87.5% ).
R	Students' scores in the multiple-choice questions about medical interpretation/role of the interpreter were also significantly improved ( Chi-Square test , p < 0.05 ).
R	All students who decided to take the exam were able to successfully become certified interpreters.
R	Ninety-two percent of participants reported they would recommend the program and would be willing to serve as a future "coaches" for interpreter training workshops delivered to peer students.
C	Our program was successful in increasing self-reported measures of empathy and humanism in medical students.
C	Our data suggests that implementation of medical interpreter training programs can be a successful strategy to develop of humanism in medical students , and aid in the development of sustainable language access for LEP patients.
B	Lack of agreement about criteria and terminology for children's language problems affects access to services as well as hindering research and practice.
B	We report the second phase of a study using an online Delphi method to address these issues.
B	In the first phase , we focused on criteria for language disorder.
B	Here we consider terminology.
M	The Delphi method is an iterative process in which an initial set of statements is rated by a panel of experts , who then have the opportunity to view anonymised ratings from other panel members.
M	On this basis they can either revise their views or make a case for their position.
M	The statements are then revised based on panel feedback , and again rated by and commented on by the panel.
M	In this study , feedback from a second round was used to prepare a final set of statements in narrative form.
M	The panel included 57 individuals representing a range of professions and nationalities.
R	We achieved at least 78% agreement for 19 of 21 statements within two rounds of ratings.
R	These were collapsed into 12 statements for the final consensus reported here.
R	The term 'Language Disorder' is recommended to refer to a profile of difficulties that causes functional impairment in everyday life and is associated with poor prognosis.
R	The term , 'Developmental Language Disorder' ( DLD ) was endorsed for use when the language disorder was not associated with a known biomedical aetiology.
R	It was also agreed that ( a ) presence of risk factors ( neurobiological or environmental ) does not preclude a diagnosis of DLD , ( b ) DLD can co-occur with other neurodevelopmental disorders ( e.g. ADHD ) and ( c ) DLD does not require a mismatch between verbal and nonverbal ability.
C	This Delphi exercise highlights reasons for disagreements about terminology for language disorders and proposes standard definitions and nomenclature.
P	The autosegmental-metrical ( AM ) framework represents an established methodology for intonational analysis in unimpaired speaker populations but has found little application in describing intonation in motor speech disorders ( MSDs ).
P	This study compared the intonation patterns of unimpaired participants ( CON ) and those with Parkinson's disease ( PD ) , ataxic dysarthria ( AT ) , and foreign accent syndrome ( FAS ) to evaluate the approach's potential for distinguishing types of MSDs from each other and from unimpaired speech.
M	Spontaneous speech from 8 PD , 8 AT , 4 FAS , and 10 CON speakers were analyzed in relation to inventory and prevalence of pitch patterns , accentuation , and phrasing.
M	Acoustic-phonetic baseline measures ( maximum-phonation-duration , speech rate , and F0-variability ) were also performed.
R	The analyses yielded differences between MSD and CON groups and between the clinical groups in regard to prevalence , accentuation , and phrasing.
R	AT and FAS speakers used more rising and high pitch accents than PD and CON speakers.
R	The AT group used the highest number of pitch accents per phrase , and all 3 MSD groups produced significantly shorter phrases than the CON group.
C	The study succeeded in differentiating MSDs on the basis of intonational performances by using the AM approach , thus , demonstrating its potential for charting intonational profiles in clinical populations.
B	Clinical depression is highly prevalent yet under-detected and under-treated in palliative care settings and is associated with a number of adverse medical and psychological outcomes for patients and their family members.
B	This article presents a study protocol to evaluate a training intervention for non-physician palliative care staff to improve the recognition of depression and provide support for depressed patients and their family members.
B	Details of the hypotheses and expected outcomes , study design , training program development and evaluation measures are described.
B	Methods and
M	A randomised controlled trial will be implemented across two palliative care services to evaluate the "Training program for professional carers to recognise and manage depression in palliative care settings".
M	Pre- , post- and three-month follow-up data will be collected to assess: the impact of the training on the knowledge , attitudes , self-efficacy and perceived barriers of palliative care staff when working with depression ; referral rates for depression ; and changes to staff practices.
M	Quantitative and qualitative methods , in the form of self-report questionnaires and interviews with staff and family members , will be used to evaluate the effectiveness of the intervention.
C	This study will determine the effectiveness of an intervention that aims to respond to the urgent need for innovative programs to target depression in the palliative care setting.
C	The expected outcome of this study is the validation of an evidence-based training program to improve staff recognition and appropriate referrals for depression , as well as improve psychosocial support for depressed patients and their family members.
B	Premature termination is a common problem in the treatment of personality disorder.
B	Efforts to improve compliance should begin by recognising risk factors for premature termination.
B	This prospective study identified predictors of premature termination from a day treatment program for personality disorder.
M	Consecutively admitted patients with a personality disorder ( n = 197 ) were assessed with self-report and interview measures.
M	Patient personality characteristics were the primary predictors.
M	Others were demographic , initial disturbance , and personality disorder variables.
M	Cox proportional hazards regression was used.
R	Risk of terminating prematurely significantly increased if the patient had been previously hospitalised for psychiatric difficulties , was younger , had fewer prior contacts with health and social services , and had more severe borderline personality disorder traits.
C	Information about which patients are at high risk for premature termination can help clinicians take measures to modify the risk.
C	This might involve selection decisions , pre-treatment preparation , close monitoring during treatment , or addition of adjunctive interventions.
C	Copyright ( c ) 2008 S. Karger AG , Basel.
P	To analyze whether previously identified risk factors for sudden death syndrome have a significant impact in a developing country.
M	Retrospective longitudinal case-control study carried out in Porto Alegre , Southern Brazil.
M	Cases ( N=39 ) were infants born between 1996 and 2000 who died suddenly and unexpectedly at home during sleep and were diagnosed with sudden death syndrome.
M	Controls ( N=117 ) were infants matched by age and sex who died in hospitals due to other conditions.
M	Data were collected from postmortem examination records and questionnaires answers.
M	A conditional logistic model was used to identify factors associated with the outcome.
R	Mean age at death of cases was 3.2 months.
