Law	"This article analyses the important connection between corporate longevity, social responsibility and intellectual property rights (IPR) assets in the context of sustainability. Society is demanding greater transparency of the footprint corporate entities leave on the planet as a result of how their business model is activated. The private sector response necessary to operate sustainably in the long term is critically examined specifically in connection with the United Nations 2030 Sustainable Development Goal 9 Industry, Innovation and Infrastructure (SDG 9). SDG 9 aims to ""Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation"". Certain characteristics of companies in the century club are contrasted with those of the younger MNEs with IP-reliant digital business models to illustrate the important connection between innovation, IP, sustainability and corporate longevity."
"Social Sciences, Biomedical"	"The main purpose of this research was to analyse the effects of the social structure on unequal patterns of morbidity and mortality in Portugal. The data source was based on the analysis of individual clinical files of inpatients from two hospitals who died in 2004 (N = 1935). Data were collected from these files on social and health dimensions so as to define each person's social class, health-related lifestyle, life trajectory and illness trajectories A theoretical framework inspired by Cockerham and Bourdieu's concepts as well as both multiple correspondence analysis and cluster analysis were used to visualise the complex multidimensional social space of this health inequality field. The results show that over the life course, individuals positioned in different social classes experience distinct health and disease trajectories. The unequal distribution of the diseases and the causes of death in the social space reveal a structure of social inequalities based on the differentiated possibilities of accessing and using health resources. Social Theory & Health (2011) 9, 393-409. doi:10.1057/sth.2011.17; published online 5 October 2011"
Ethics	"This article introduces comparative process tracing (CPT) as a two-step methodological approach that combines theory, chronology, and comparison. For each studied case, the processes leading from A to B are reconstructed and analyzed in terms of ideal-type social mechanisms and then compared by making use of the identified mechanisms and ideal-type periodization. Central elements of CPT are path dependence, critical junctures and focal points, social mechanisms, context, periodization, and counterfactual analysis. The CPT approach is described, discussed, and compared with more formal and deterministic forms of process tracing, which are found to be less fruitful for systematic comparison."
Linguistics	"This article examines the Greek particle ba in naturally occurring talk, adopting a conversation analytic perspective. The analysis reveals that it is systematically involved in two different types of social action, depending on prosodic variation and sequential position. Overall, ba appears as either a repair initiator expressing surprise, or a negative token in polar answers and disagreements. It is shown that these seemingly different uses are united by an indexical anchor of unexpectedness that is realized differently prosodically and adopts an either backward- or forward-looking orientation. The article gives further insight into how one""s knowledge is related to one""s expectations, thus contributing to a better understanding of the epistemics of (un)expectedness. It also enriches growing cross-linguistic literature on epistemic particles from a Greek perspective. Data are drawn from 40 recorded ordinary conversations included in the Corpus of Spoken Greek and 8 focus groups conducted in Greece. Crown Copyright (C) 2020 Published by Elsevier B.V. All rights reserved."
Women'S Studies	"I distinguish between two senses in which feminists have argued that the knower is social: 1. situated or socially positioned and 2. interdependent. I argue that these two aspects of the knower work in cooperation with each other in a way that can produce willful hermeneutical ignorance, a type of epistemic injustice absent from Miranda Fricker's Epistemic Injustice. Analyzing the limitations of Fricker's analysis of the trial of Tom Robinson in Harper Lee's To Kill a Mockingbird with attention to the way in which situatedness and interdependence work in tandem, I develop an understanding of willful hermeneutical ignorance, which occurs when dominantly situated knowers refuse to acknowledge epistemic tools developed from the experienced world of those situated marginally. Such refusals allow dominantly situated knowers to misunderstand, misinterpret, and/or ignore whole parts of the world."
Health Policy & Services	"Background. Incidents and quality problems are a prime cause why health care leaders are calling to redesign health care delivery One of the concepts used is lean thinking. Yet, lean often leads to resistance. Also, there is a lack of high quality evidence supporting lean premises. In this paper, we present an overview of lean thinking and its application to health care. Development, theory and application of lean thinking to health care. Lean thinking evolved from a tool designed to improve operational shop-floor performance at an automotive manufacturer to a management approach with both operational and sociotechnical aspects. Sociotechnical dynamics have until recently not received much attention. At the same time a balanced approach might lead to a situation where operational and sociotechnial improvements are mutually reinforcing. Application to health care has been limited and focussed mainly on operational aspects using original lean tools. A more integrative approach would be to pay more attention to sociotechnical dynamics of lean implementation efforts. Also, the need to use the original lean tools may be limited, because health care may have different instruments and tools already in use that are in line with lean thinking principles. Discussion. We believe lean thinking has the potential to improve health care delivery. At the same time, there are methodological and practical considerations that need to be taken into account. Otherwise, lean implementation will be superficial and fail, adding to existing resistance and making it more difficult to improve health care in the long term."
Anthropology	"This paper examines variables useful in reconstructing oral (caries, antemortem tooth loss, alveolar defects) and physiological (cribra orbitalia, linear enamel hypoplasia) well-being in two bioarchaeological assemblages from Hokkaido, Japan: Okhotsk (n = 37 individuals) and Jomon (n = 60). Findings are compared and contrasted with each other, with published series from Honshu Japan, and samples from climatically near-equivalent Alaska. It was found that more meaningful comparisons of Hokkaido paleohealth could be made with Alaskan material, rather than the more southerly Jomon. Results were ambiguous with respect to physiological well-being. Low levels of LEH in the cold-adapted samples suggest operating in arctic and subarctic environments with marine-based subsistence regimes is not physiologically expensive. However, the relatively high suggest the picture is not straightforward: the reasons for elevated cribra orbitalia in Hokkaido are unclear. The subarctic and arctic samples formed three broadly similar groupings in terms of oral health profiles: (1) Aleuts and Eskimo; (2) Ipiutak and Tigara; (3) Hokkaido Jomon, Okhotsk, and Kodiak Island. Differences between these groupings could be explained with a combination of sample demographics and subsistence orientations. The extremely high frequency of caries in one sample, caribou hunting Ipiutak, may have been influenced by factors such as low levels of dietary magnesium and potentially cariogenic foodstuffs, such as. preparations of caribou stomach contents. It was concluded that oral health profiles are potentially sensitive to differences in subsistence strategies among cold-adapted hunter-gatherers, although they lack predictive value."
Ethnic Studies	"Drawing upon ethnographic data collected in Glendale, California, this study applies constructivist theories of ethnic politics to political incorporation research. The analysis demonstrates how the evolving loci of political incorporation-from marginalized racial minorities in urban centers to multi-ethnic migrants in prosperous suburbs-have given rise to new agents (ethnopolitical entrepreneurs) in new spaces (ethnoburbs). In these evolving spaces, community leaders emphasize, consciously and unconsciously, specific attributes, which determine, in part, whether co-ethnics support selected candidates. Specific emphases lead to both the nomination of prospective politicians as well as the political incorporation of newcomers. By applying constructivist theories of ethnic politics to the study of political incorporation, this article expands and refines discourses in both fields of study. Based upon a case study of the intra-ethnically diverse yet highly mobilized Armenian community in Glendale, California, the paper's findings synthesize the strengths of both analytical perspectives."
Nursing	"Clinical skills training is an important part of nurses' education programmes. Clinical skills are complex. A common understanding of what characterizes clinical skills and learning outcomes needs to be established. The aim of the study was to develop and evaluate a new reflection and feedback tool for formative assessment. The study has a descriptive quantitative design. 129 students participated who were at the end of the first year of a Bachelor degree in nursing. After highfidelity simulation, data were collected using a questionnaire with 19 closed-ended and 2 open-ended questions. The tool stimulated peer assessment, and enabled students to be more thorough in what to assess as an observer in clinical skills. The tool provided a structure for selfassessment and made visible items that are important to be aware of in clinical skills. Conclusions: This article adds to simulation literature and provides a tool that is useful in enhancing peer learning, which is essential for nurses in practice. The tool has potential for enabling students to learn about reflection and developing skills for guiding others in practice after they have graduated. (C) 2017 Elsevier Ltd. All rights reserved."
Demography	"This article investigates whether and how having a child impacts an individual's subjective well-being, while taking into account heterogeneity in family attitudes. People with different family orientations have different values, gender attitudes, preferences toward career and family, and expectations about how childbearing can affect their subjective well-being. These differences impact fertility decisions and the effect of parenthood on an individual's life satisfaction. We define three groups of people based on their family orientations: Traditional, Mixed, and Modern. Applying propensity score matching on longitudinal data (British Household Panel Survey), we create groups of individuals with very similar socioeconomic characteristics and family orientations before childbearing. We then compare those who have one child with those who are childless, and those who have two children with those who have only one child. We show that parents are significantly more satisfied than nonparents, and this effect is stronger among men than among women. For men, we do not find significant differences across family orientations groups in the effect of the birth of the first child on life satisfaction. Among women, only Traditional mothers seem to be more satisfied than their childless counterparts. Women who have a second child are never more satisfied than those who have only one child, regardless of their family orientations. Traditional and Mixed men experience a gain in life satisfaction when they have a second child, but this effect is not found for Modern men."
